Match ID,Map ID,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Map VOD
ww2-anaheim-winners1-match-3,ww2-anaheim-winners1-match-3-map-1,9.0,OpTic Gaming,1.0,Luminosity Gaming,CWL Anaheim 2018,Hardpoint,London Docks,1,250.0,168.0,OpTic Gaming,
ww2-anaheim-winners1-match-3,ww2-anaheim-winners1-match-3-map-2,9.0,OpTic Gaming,1.0,Luminosity Gaming,CWL Anaheim 2018,Search and Destroy,Valkyrie,2,4.0,6.0,Luminosity Gaming,
ww2-anaheim-winners1-match-3,ww2-anaheim-winners1-match-3-map-3,9.0,OpTic Gaming,1.0,Luminosity Gaming,CWL Anaheim 2018,Capture The Flag,Ardennes Forest,3,2.0,3.0,Luminosity Gaming,
ww2-anaheim-winners1-match-3,ww2-anaheim-winners1-match-3-map-4,9.0,OpTic Gaming,1.0,Luminosity Gaming,CWL Anaheim 2018,Hardpoint,Valkyrie,4,144.0,250.0,Luminosity Gaming,
ww2-anaheim-winners1-match-4,ww2-anaheim-winners1-match-4-map-1,13.0,Red Reserve,17.0,Echo Fox,CWL Anaheim 2018,Hardpoint,Valkyrie,1,250.0,125.0,Red Reserve,
ww2-anaheim-winners1-match-4,ww2-anaheim-winners1-match-4-map-2,13.0,Red Reserve,17.0,Echo Fox,CWL Anaheim 2018,Search and Destroy,Sainte Marie du Mont,2,6.0,2.0,Red Reserve,
ww2-anaheim-winners1-match-4,ww2-anaheim-winners1-match-4-map-3,13.0,Red Reserve,17.0,Echo Fox,CWL Anaheim 2018,Capture The Flag,Flak Tower,3,2.0,1.0,Red Reserve,
ww2-anaheim-losers2-match-1,ww2-anaheim-losers2-match-1-map-1,25.0,compLexity Gaming,46.0,Brash eSports,CWL Anaheim 2018,Hardpoint,Ardennes Forest,1,250.0,243.0,compLexity Gaming,
ww2-anaheim-losers2-match-1,ww2-anaheim-losers2-match-1-map-2,25.0,compLexity Gaming,46.0,Brash eSports,CWL Anaheim 2018,Search and Destroy,Ardennes Forest,2,6.0,1.0,compLexity Gaming,
ww2-anaheim-losers2-match-1,ww2-anaheim-losers2-match-1-map-3,25.0,compLexity Gaming,46.0,Brash eSports,CWL Anaheim 2018,Capture The Flag,Ardennes Forest,3,3.0,2.0,compLexity Gaming,
ww2-anaheim-losers2-match-2,ww2-anaheim-losers2-match-2-map-1,8.0,Ghost Gaming,10.0,Enigma6 Group,CWL Anaheim 2018,Hardpoint,Valkyrie,1,250.0,148.0,Ghost Gaming,
ww2-anaheim-losers2-match-2,ww2-anaheim-losers2-match-2-map-2,8.0,Ghost Gaming,10.0,Enigma6 Group,CWL Anaheim 2018,Search and Destroy,London Docks,2,6.0,4.0,Ghost Gaming,
ww2-anaheim-losers2-match-2,ww2-anaheim-losers2-match-2-map-3,8.0,Ghost Gaming,10.0,Enigma6 Group,CWL Anaheim 2018,Capture The Flag,Flak Tower,3,4.0,0.0,Ghost Gaming,
ww2-anaheim-losers2-match-3,ww2-anaheim-losers2-match-3-map-1,6.0,Evil Geniuses,23.0,Lightning Pandas,CWL Anaheim 2018,Hardpoint,Ardennes Forest,1,228.0,205.0,Evil Geniuses,
ww2-anaheim-losers2-match-3,ww2-anaheim-losers2-match-3-map-2,6.0,Evil Geniuses,23.0,Lightning Pandas,CWL Anaheim 2018,Search and Destroy,Sainte Marie du Mont,2,3.0,6.0,Lightning Pandas,
ww2-anaheim-losers2-match-3,ww2-anaheim-losers2-match-3-map-3,6.0,Evil Geniuses,23.0,Lightning Pandas,CWL Anaheim 2018,Capture The Flag,London Docks,3,4.0,3.0,Evil Geniuses,
ww2-anaheim-losers2-match-3,ww2-anaheim-losers2-match-3-map-4,6.0,Evil Geniuses,23.0,Lightning Pandas,CWL Anaheim 2018,Hardpoint,London Docks,4,250.0,213.0,Evil Geniuses,
ww2-anaheim-losers2-match-4,ww2-anaheim-losers2-match-4-map-1,2.0,Epsilon Esports,35.0,Tainted Minds,CWL Anaheim 2018,Hardpoint,Gibraltar,1,167.0,250.0,Tainted Minds,
ww2-anaheim-losers2-match-4,ww2-anaheim-losers2-match-4-map-2,2.0,Epsilon Esports,35.0,Tainted Minds,CWL Anaheim 2018,Search and Destroy,London Docks,2,4.0,6.0,Tainted Minds,
ww2-anaheim-losers2-match-4,ww2-anaheim-losers2-match-4-map-3,2.0,Epsilon Esports,35.0,Tainted Minds,CWL Anaheim 2018,Capture The Flag,London Docks,3,5.0,3.0,Epsilon Esports,
ww2-anaheim-losers2-match-4,ww2-anaheim-losers2-match-4-map-4,2.0,Epsilon Esports,35.0,Tainted Minds,CWL Anaheim 2018,Hardpoint,Valkyrie,4,250.0,222.0,Epsilon Esports,
ww2-anaheim-losers2-match-4,ww2-anaheim-losers2-match-4-map-5,2.0,Epsilon Esports,35.0,Tainted Minds,CWL Anaheim 2018,Search and Destroy,Valkyrie,5,3.0,6.0,Tainted Minds,
ww2-anaheim-losers3-match-1,ww2-anaheim-losers3-match-1-map-1,14.0,Team Kaliber,25.0,compLexity Gaming,CWL Anaheim 2018,Hardpoint,Gibraltar,1,250.0,135.0,Team Kaliber,
ww2-anaheim-losers3-match-1,ww2-anaheim-losers3-match-1-map-2,14.0,Team Kaliber,25.0,compLexity Gaming,CWL Anaheim 2018,Search and Destroy,USS Texas,2,3.0,6.0,compLexity Gaming,
