Match ID,Map ID,Team 1 ID,Team 1,Team 2 ID,Team 2,Event,Mode,Map,Map Number,Team 1 Score,Team 2 Score,Map Winner,Map VOD
bo4-lasvegas-poolC-match-8,bo4-lasvegas-poolC-match-8-map-4,12,Team Envy,77,Mazer Gaming,CWL Las Vegas 2019,Hardpoint,Frequency,4,250,114,Team Envy,
bo4-lasvegas-poolC-match-8,bo4-lasvegas-poolC-match-8-map-5,12,Team Envy,77,Mazer Gaming,CWL Las Vegas 2019,Search and Destroy,Gridlock,5,5,6,Mazer Gaming,
bo4-lasvegas-poolC-match-9,bo4-lasvegas-poolC-match-9-map-1,23,Lightning Pandas,77,Mazer Gaming,CWL Las Vegas 2019,Hardpoint,Gridlock,1,250,231,Lightning Pandas,
bo4-lasvegas-poolC-match-9,bo4-lasvegas-poolC-match-9-map-2,23,Lightning Pandas,77,Mazer Gaming,CWL Las Vegas 2019,Search and Destroy,Frequency,2,2,6,Mazer Gaming,
bo4-lasvegas-poolC-match-9,bo4-lasvegas-poolC-match-9-map-3,23,Lightning Pandas,77,Mazer Gaming,CWL Las Vegas 2019,Control,Arsenal,3,1,3,Mazer Gaming,
bo4-lasvegas-poolC-match-9,bo4-lasvegas-poolC-match-9-map-4,23,Lightning Pandas,77,Mazer Gaming,CWL Las Vegas 2019,Hardpoint,Hacienda,4,250,167,Lightning Pandas,
bo4-lasvegas-poolC-match-9,bo4-lasvegas-poolC-match-9-map-5,23,Lightning Pandas,77,Mazer Gaming,CWL Las Vegas 2019,Search and Destroy,Arsenal,5,6,0,Lightning Pandas,
bo4-lasvegas-poolC-match-10,bo4-lasvegas-poolC-match-10-map-1,20,FaZe Clan,77,Mazer Gaming,CWL Las Vegas 2019,Hardpoint,Frequency,1,250,159,FaZe Clan,
bo4-lasvegas-poolC-match-10,bo4-lasvegas-poolC-match-10-map-2,20,FaZe Clan,77,Mazer Gaming,CWL Las Vegas 2019,Search and Destroy,Hacienda,2,6,2,FaZe Clan,
bo4-lasvegas-poolC-match-10,bo4-lasvegas-poolC-match-10-map-3,20,FaZe Clan,77,Mazer Gaming,CWL Las Vegas 2019,Control,Frequency,3,3,1,FaZe Clan,
bo4-lasvegas-poolD-match-7,bo4-lasvegas-poolD-match-7-map-1,72,Pittsburgh Knights,78,Excelerate Gaming,CWL Las Vegas 2019,Hardpoint,Frequency,1,170,250,Excelerate Gaming,
bo4-lasvegas-poolD-match-7,bo4-lasvegas-poolD-match-7-map-2,72,Pittsburgh Knights,78,Excelerate Gaming,CWL Las Vegas 2019,Search and Destroy,Hacienda,2,6,5,Pittsburgh Knights,
bo4-lasvegas-poolD-match-7,bo4-lasvegas-poolD-match-7-map-3,72,Pittsburgh Knights,78,Excelerate Gaming,CWL Las Vegas 2019,Control,Frequency,3,3,2,Pittsburgh Knights,
bo4-lasvegas-poolD-match-7,bo4-lasvegas-poolD-match-7-map-4,72,Pittsburgh Knights,78,Excelerate Gaming,CWL Las Vegas 2019,Hardpoint,Gridlock,4,250,160,Pittsburgh Knights,
bo4-lasvegas-poolD-match-8,bo4-lasvegas-poolD-match-8-map-1,7,Splyce,78,Excelerate Gaming,CWL Las Vegas 2019,Hardpoint,Gridlock,1,197,250,Excelerate Gaming,
bo4-lasvegas-poolD-match-8,bo4-lasvegas-poolD-match-8-map-2,7,Splyce,78,Excelerate Gaming,CWL Las Vegas 2019,Search and Destroy,Hacienda,2,6,3,Splyce,
bo4-lasvegas-poolD-match-8,bo4-lasvegas-poolD-match-8-map-3,7,Splyce,78,Excelerate Gaming,CWL Las Vegas 2019,Control,Gridlock,3,3,1,Splyce,
bo4-lasvegas-poolD-match-8,bo4-lasvegas-poolD-match-8-map-4,7,Splyce,78,Excelerate Gaming,CWL Las Vegas 2019,Hardpoint,Arsenal,4,250,157,Splyce,
bo4-lasvegas-poolD-match-9,bo4-lasvegas-poolD-match-9-map-1,9,OpTic Gaming,78,Excelerate Gaming,CWL Las Vegas 2019,Hardpoint,Gridlock,1,250,146,OpTic Gaming,
bo4-lasvegas-poolD-match-9,bo4-lasvegas-poolD-match-9-map-2,9,OpTic Gaming,78,Excelerate Gaming,CWL Las Vegas 2019,Search and Destroy,Arsenal,2,6,2,OpTic Gaming,
bo4-lasvegas-poolD-match-9,bo4-lasvegas-poolD-match-9-map-3,9,OpTic Gaming,78,Excelerate Gaming,CWL Las Vegas 2019,Control,Arsenal,3,3,0,OpTic Gaming,
bo4-lasvegas-poolD-match-10,bo4-lasvegas-poolD-match-10-map-1,76,G2 Esports,78,Excelerate Gaming,CWL Las Vegas 2019,Hardpoint,Arsenal,1,193,250,Excelerate Gaming,
bo4-lasvegas-poolD-match-10,bo4-lasvegas-poolD-match-10-map-2,76,G2 Esports,78,Excelerate Gaming,CWL Las Vegas 2019,Search and Destroy,Gridlock,2,3,6,Excelerate Gaming,
bo4-lasvegas-poolD-match-10,bo4-lasvegas-poolD-match-10-map-3,76,G2 Esports,78,Excelerate Gaming,CWL Las Vegas 2019,Control,Arsenal,3,1,3,Excelerate Gaming,
bo4-lasvegas-losers1-match-1,bo4-lasvegas-losers1-match-1-map-1,16,Mindfreak,79,FC Black,CWL Las Vegas 2019,Hardpoint,,1,,,,
bo4-lasvegas-losers1-match-1,bo4-lasvegas-losers1-match-1-map-2,16,Mindfreak,79,FC Black,CWL Las Vegas 2019,Search and Destroy,,2,,,,
bo4-lasvegas-losers1-match-1,bo4-lasvegas-losers1-match-1-map-3,16,Mindfreak,79,FC Black,CWL Las Vegas 2019,Control,,3,,,,
