Team ID,Name,Twitter Username,Instagram Username,Twitch Channel,YouTube Channel,Past Team Names,Twitter Followers,Instagram Followers,Twitch Followers,YouTube Subscribers
107,Florida Mutineers,mutineers,flmutineers,,https://www.youtube.com/channel/UCieLxbBoDwpLwhn5hF8AM2g,,,,,
108,Los Angeles Guerrillas,LAGuerrillas,LAGuerrillas,LAGuerrillas,https://www.youtube.com/c/LAGuerrillas,,,,,
109,Minnesota RØKKR,rokkr,rokkr_mn,ROKKR_MN,https://www.youtube.com/channel/UC0kgNJw4LG_cqAKVxRqm6fQ,,,,,
110,New York Subliners,subliners,subliners,Subliners,https://www.youtube.com/newyorksubliners,,,,,
111,London Royal Ravens,RoyalRavens,royalravens,,https://www.youtube.com/c/royalravens,,,,,
112,Toronto Ultra,TorontoUltra,torontoultra,torontoultra,https://www.youtube.com/channel/UCDENpSqz8pAEra4mu8RswMA,,,,,
113,Paris Legion,ParisLegion,parislegion,ParisLegion,https://www.youtube.com/channel/UCBEEJQNSba_6ywEQT8Gkugw,,,,,
114,OpTic Gaming Los Angeles,,,,,,,,,
115,Atlanta FaZe,ATLFaZe,atl_faze,,https://www.youtube.com/AtlantaFaZe,,,,,
116,Los Angeles Thieves,LAThieves,lathieves,,https://www.youtube.com/c/lathieves,,,,,
117,OpTic Chicago,OpTicCHI,opticchicago,,https://www.youtube.com/channel/UCUv9pxNBIZLjYKrhaK_RqOw,,,,,
